 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
6,FAST,0.001929,4870,407,FREAK,0.029923,172,0.001422
7,FAST,0.001796,4868,393,FREAK,0.029887,191,0.001297
8,FAST,0.001815,4996,386,FREAK,0.029786,162,0.001355
9,FAST,0.001846,4997,389,FREAK,0.030096,165,0.001353

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,FAST,0.002007,5063,407,AKAZE, 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,FAST,0.001883,5063,407,SIFT,0.022282,
1,FAST,0.001981,4952,415,SIFT,0.020992,306,0.000905
2,FAST,0.001865,4863,389,SIFT,0.022423,316,0.000963
3,FAST,0.001836,4840,413,SIFT,0.020131,290,0.000829
4,FAST,0.001754,4856,371,SIFT,0.022133,302,0.003996
5,FAST,0.001645,4899,396,SIFT,0.020685,277,0.000987
6,FAST,0.002007,4870,407,SIFT,0.022801,314,0.000700
7,FAST,0.001868,4868,393,SIFT,0.021636,306,0.000888
8,FAST,0.001919,4996,386,SIFT,0.020378,295,0.000856
9,FAST,0.001929,4997,389,SIFT,0.021489,297,0.002153

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,BRISK,0.034051,2757,254,BRIEF,0.001294,
1,BRISK,0.032959,2777,274,BRIEF,0.000840,136,0.000449
2,BRISK,0.034551,2741,276,BRIEF,0.000803,160,0.000589
3,BRISK,0.032174,2735,275,BRIEF,0.000784,129,0.000439
4,BRISK,0.035248,2757,293,BRIEF,0.000793,140,0.000502
5,BRISK,0.033916,2695,275,BRIEF,0.000796,147,0.000436
6,BRISK,0.033095,2715,289,BRIEF,0.000886,153,0.000458
7,BRISK,0.031645,2628,268,BRIEF,0.000786,157,0.000435
8,BRISK,0.032102,2639,258,BRIEF,0.000757,158,0.000417
